"filename", "language", "JSON", "JSON with Comments", "Markdown", "SCSS", "TypeScript", "HTML", "JavaScript", "comment", "blank", "total"
"d:\Documentos\Old PC\Bloco 8\TCC2\Applications\crud-angular\README-Angular.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 14, 28
"d:\Documentos\Old PC\Bloco 8\TCC2\Applications\crud-angular\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 15, 29
"d:\Documentos\Old PC\Bloco 8\TCC2\Applications\crud-angular\angular.json", "JSON", 113, 0, 0, 0, 0, 0, 0, 0, 1, 114
"d:\Documentos\Old PC\Bloco 8\TCC2\Applications\crud-angular\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 6, 2, 45
"d:\Documentos\Old PC\Bloco 8\TCC2\Applications\crud-angular\package-lock.json", "JSON", 20248, 0, 0, 0, 0, 0, 0, 0, 1, 20249
"d:\Documentos\Old PC\Bloco 8\TCC2\Applications\crud-angular\package.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 0, 0, 41
"d:\Documentos\Old PC\Bloco 8\TCC2\Applications\crud-angular\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"d:\Documentos\Old PC\Bloco 8\TCC2\Applications\crud-angular\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"d:\Documentos\Old PC\Bloco 8\TCC2\Applications\crud-angular\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Documentos\Old PC\Bloco 8\TCC2\Applications\crud-angular\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"d:\Documentos\Old PC\Bloco 8\TCC2\Applications\crud-angular\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\Documentos\Old PC\Bloco 8\TCC2\Applications\crud-angular\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 3, 49
"d:\Documentos\Old PC\Bloco 8\TCC2\Applications\crud-angular\src\app\shared\footer\footer.component.html", "HTML", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Documentos\Old PC\Bloco 8\TCC2\Applications\crud-angular\src\app\shared\footer\footer.component.scss", "SCSS", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
